status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,ensemble_daily_extent,tuw_daily_extent,list_daily_extent,dlr_daily_extent
Processed,0.0,0.0,,0.0,FL-4295,NA020M,USA,,4295,Green,1,2015-10-01T00:00:00,2015-10-13T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4295&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4295&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4295,"{'type': 'Point', 'coordinates': [-80.493, 33.503]}",0.0,0.0,0.0,0.0
Processed,0.0488,0.3708,0.2888,2.5632,FL-4299,EU020M,Romania,ROU,4299,Green,1,2015-10-12T00:00:00,2015-10-13T23:59:59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=4299&episodeid=2,https://www.gdacs.org/report.aspx?eventid=4299&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=4299,"{'type': 'Point', 'coordinates': [28.732, 44.642]}",0.0488,0.444,0.2888,2.5704000000000002
Processed,33.1472,54.8676,78.9128,60.0052,FL-1000038,OC020M,Philippines,PHL,1000038,Orange,2,2017-01-16T00:00:00,2017-02-07T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000038&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1000038&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000038,"{'type': 'Point', 'coordinates': [122.727, 7.871]}",33.1472,54.8676,80.63600000000001,60.0052
Processed,0.6548,919.5456,37.7972,574.2404,FL-1000043,SA020M,Peru,PER,1000043,Green,1,2017-01-25T00:00:00,2017-02-07T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000043&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1000043&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000043,"{'type': 'Point', 'coordinates': [-73.393, -14.998]}",1.0548000000000002,1387.6148,37.7972,918.102
Processed,45.4456,22.7188,69.1976,89.1072,FL-1000045,AF020M,Mozambique,MOZ,1000045,Green,1,2017-01-12T00:00:00,2017-02-06T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000045&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000045&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000045,"{'type': 'Point', 'coordinates': [35.125, -23.752]}",55.1576,27.898000000000003,87.8628,107.1808
Processed,6.5724,15.3748,14.4068,12.9096,FL-1000048,AF020M,Zimbabwe,ZWE,1000048,Green,1,2017-01-28T00:00:00,2017-02-01T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000048&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000048&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000048,"{'type': 'Point', 'coordinates': [31.107, -17.885]}",6.5724,15.3748,14.4068,12.9096
Processed,0.6328,12.6256,0.0,6.8292,FL-1000049,NA020M,Honduras,HND,1000049,Green,1,2017-01-30T00:00:00,2017-02-01T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000049&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000049&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000049,"{'type': 'Point', 'coordinates': [-86.787, 15.764]}",0.6328,12.6256,0.0,6.8292
Processed,196.9064,385.3644,140.4476,220.2016,FL-1000047,AS020M,Thailand,THA,1000047,green,1,2017-01-09T00:00:00,2017-01-12T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000047&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000047&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000047,"{'type': 'Point', 'coordinates': [99.866, 8.538]}",212.1396,441.6028,142.9932,250.19160000000002
Processed,104.3476,100.698,185.306,197.9684,FL-1000066,AF020M,Mozambique,MOZ,1000066,Green,1,2017-02-27T00:00:00,2017-03-01T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000066&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000066&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000066,"{'type': 'Point', 'coordinates': [34.868, -19.82]}",104.3476,100.698,185.306,197.9684
Processed,22.1112,66.328,41.9304,34.5008,FL-1000064,OC020M,Indonesia,IDN,1000064,Green,1,2017-02-25T00:00:00,2017-02-28T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000064&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000064&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000064,"{'type': 'Point', 'coordinates': [106.811, -6.599]}",22.1112,66.328,41.9304,34.5008
