,status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
0,Processed,0.0,12.0696,0.4868,0.6528,FL-1000053,EU020M,France,FRA,1000053,Green,1,2017-02-14T00:00:00,2017-02-15T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000053&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000053&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000053,"{'type': 'Point', 'coordinates': [2.448, 43.091]}"
1,Processed,9.2384,29.3576,15.5244,47.9384,FL-1000096,EU020M,France,FRA,1000096,Green,1,2017-06-13T00:00:00,2017-06-14T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000096&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000096&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000096,"{'type': 'Point', 'coordinates': [3.799, 45.142]}"
2,Processed,63.7504,106.8164,170.328,225.2212,FL-1000119,EU020M,Germany,DEU,1000119,Green,1,2017-07-19T00:00:00,2017-07-21T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000119&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000119&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000119,"{'type': 'Point', 'coordinates': [8.043, 51.501]}"
3,Processed,0.968,20.6504,0.7628,14.622,FL-1000123,EU020M,Italy,ITA,1000123,Green,1,2017-08-10T00:00:00,2017-08-11T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000123&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000123&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000123,"{'type': 'Point', 'coordinates': [12.23, 45.336]}"
4,Processed,0.1464,7.7308,0.0,1.1436,FL-1000115,EU020M,Italy,ITA,1000115,Green,1,2017-09-09T00:00:00,2017-09-11T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000115&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000115&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000115,"{'type': 'Point', 'coordinates': [10.324, 43.599]}"
5,Processed,285.3656,650.3816,353.754,308.9568,FL-1000164,EU020M,France,FRA,1000164,Green,1,2018-01-22T00:00:00,2018-02-07T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000164&episodeid=4,https://www.gdacs.org/report.aspx?eventid=1000164&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000164,"{'type': 'Point', 'coordinates': [1.88, 48.888]}"
6,Processed,41.7208,200.976,57.1,88.3756,FL-1000216,EU020M,Italy,ITA,1000216,Green,1,2018-10-27T00:00:00,2018-11-07T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000216&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000216&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000216,"{'type': 'Point', 'coordinates': [11.674, 45.976]}"
7,Processed,30.1092,38.552,38.71,38.5212,FL-1000215,EU020M,France,FRA,1000215,Green,1,2018-10-12T00:00:00,2018-10-18T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000215&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1000215&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000215,"{'type': 'Point', 'coordinates': [2.475, 43.104]}"
8,Processed,16.6356,66.0824,19.4616,55.5776,FL-1000231,EU020M,Italy,ITA,1000231,green,1,2019-05-11T00:00:00,2019-05-17T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1000231&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1000231&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1000231,"{'type': 'Point', 'coordinates': [12.052, 45.055]}"
9,Processed,14.122,73.2028,36.6896,79.1304,FL-1100161,EU020M,France,FRA,1100161,Green,1,2019-06-24T00:00:00,2019-06-26T00:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1100161&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1100161&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1100161,"{'type': 'Point', 'coordinates': [0.210405306275447, 49.139636]}"
